Date_key,Fecha,Mes,Año,Mes_Año,"Fecha +40d"
42462,2016-04-02,abril,2016,4.2016,2016-05-12
42463,2016-04-03,abril,2016,4.2016,2016-05-13
42464,2016-04-04,abril,2016,4.2016,2016-05-14
42465,2016-04-05,abril,2016,4.2016,2016-05-15
42466,2016-04-06,abril,2016,4.2016,2016-05-16
42467,2016-04-07,abril,2016,4.2016,2016-05-17
42468,2016-04-08,abril,2016,4.2016,2016-05-18
42469,2016-04-09,abril,2016,4.2016,2016-05-19
42470,2016-04-10,abril,2016,4.2016,2016-05-20
42471,2016-04-11,abril,2016,4.2016,2016-05-21
42472,2016-04-12,abril,2016,4.2016,2016-05-22
42473,2016-04-13,abril,2016,4.2016,2016-05-23
42474,2016-04-14,abril,2016,4.2016,2016-05-24
42475,2016-04-15,abril,2016,4.2016,2016-05-25
42476,2016-04-16,abril,2016,4.2016,2016-05-26
42477,2016-04-17,abril,2016,4.2016,2016-05-27
42478,2016-04-18,abril,2016,4.2016,2016-05-28
42479,2016-04-19,abril,2016,4.2016,2016-05-29
42480,2016-04-20,abril,2016,4.2016,2016-05-30
42481,2016-04-21,abril,2016,4.2016,2016-05-31
42482,2016-04-22,abril,2016,4.2016,2016-06-01
42483,2016-04-23,abril,2016,4.2016,2016-06-02
42484,2016-04-24,abril,2016,4.2016,2016-06-03
42485,2016-04-25,abril,2016,4.2016,2016-06-04
42486,2016-04-26,abril,2016,4.2016,2016-06-05
42487,2016-04-27,abril,2016,4.2016,2016-06-06
42488,2016-04-28,abril,2016,4.2016,2016-06-07
42489,2016-04-29,abril,2016,4.2016,2016-06-08
42490,2016-04-30,abril,2016,4.2016,2016-06-09
42491,2016-05-01,mayo,2016,5.2016,2016-06-10
42492,2016-05-02,mayo,2016,5.2016,2016-06-11
42493,2016-05-03,mayo,2016,5.2016,2016-06-12
42494,2016-05-04,mayo,2016,5.2016,2016-06-13
42495,2016-05-05,mayo,2016,5.2016,2016-06-14
42496,2016-05-06,mayo,2016,5.2016,2016-06-15
42497,2016-05-07,mayo,2016,5.2016,2016-06-16
42498,2016-05-08,mayo,2016,5.2016,2016-06-17
42499,2016-05-09,mayo,2016,5.2016,2016-06-18
42500,2016-05-10,mayo,2016,5.2016,2016-06-19
42501,2016-05-11,mayo,2016,5.2016,2016-06-20
42502,2016-05-12,mayo,2016,5.2016,2016-06-21
42503,2016-05-13,mayo,2016,5.2016,2016-06-22
42504,2016-05-14,mayo,2016,5.2016,2016-06-23
42505,2016-05-15,mayo,2016,5.2016,2016-06-24
42506,2016-05-16,mayo,2016,5.2016,2016-06-25
42507,2016-05-17,mayo,2016,5.2016,2016-06-26
42508,2016-05-18,mayo,2016,5.2016,2016-06-27
42509,2016-05-19,mayo,2016,5.2016,2016-06-28
42510,2016-05-20,mayo,2016,5.2016,2016-06-29
42511,2016-05-21,mayo,2016,5.2016,2016-06-30
42512,2016-05-22,mayo,2016,5.2016,2016-07-01
42513,2016-05-23,mayo,2016,5.2016,2016-07-02
42514,2016-05-24,mayo,2016,5.2016,2016-07-03
42515,2016-05-25,mayo,2016,5.2016,2016-07-04
42516,2016-05-26,mayo,2016,5.2016,2016-07-05
42517,2016-05-27,mayo,2016,5.2016,2016-07-06
42518,2016-05-28,mayo,2016,5.2016,2016-07-07
42519,2016-05-29,mayo,2016,5.2016,2016-07-08
42520,2016-05-30,mayo,2016,5.2016,2016-07-09
42521,2016-05-31,mayo,2016,5.2016,2016-07-10
42522,2016-06-01,junio,2016,6.2016,2016-07-11
42523,2016-06-02,junio,2016,6.2016,2016-07-12
42524,2016-06-03,junio,2016,6.2016,2016-07-13
42525,2016-06-04,junio,2016,6.2016,2016-07-14
42526,2016-06-05,junio,2016,6.2016,2016-07-15
42527,2016-06-06,junio,2016,6.2016,2016-07-16
42528,2016-06-07,junio,2016,6.2016,2016-07-17
42529,2016-06-08,junio,2016,6.2016,2016-07-18
42530,2016-06-09,junio,2016,6.2016,2016-07-19
42531,2016-06-10,junio,2016,6.2016,2016-07-20
42532,2016-06-11,junio,2016,6.2016,2016-07-21
42533,2016-06-12,junio,2016,6.2016,2016-07-22
42534,2016-06-13,junio,2016,6.2016,2016-07-23
42535,2016-06-14,junio,2016,6.2016,2016-07-24
42536,2016-06-15,junio,2016,6.2016,2016-07-25
42537,2016-06-16,junio,2016,6.2016,2016-07-26
42538,2016-06-17,junio,2016,6.2016,2016-07-27
42539,2016-06-18,junio,2016,6.2016,2016-07-28
42540,2016-06-19,junio,2016,6.2016,2016-07-29
42541,2016-06-20,junio,2016,6.2016,2016-07-30
42542,2016-06-21,junio,2016,6.2016,2016-07-31
42543,2016-06-22,junio,2016,6.2016,2016-08-01
42544,2016-06-23,junio,2016,6.2016,2016-08-02
42545,2016-06-24,junio,2016,6.2016,2016-08-03
42546,2016-06-25,junio,2016,6.2016,2016-08-04
42547,2016-06-26,junio,2016,6.2016,2016-08-05
42548,2016-06-27,junio,2016,6.2016,2016-08-06
42549,2016-06-28,junio,2016,6.2016,2016-08-07
42550,2016-06-29,junio,2016,6.2016,2016-08-08
42551,2016-06-30,junio,2016,6.2016,2016-08-09
42552,2016-07-01,julio,2016,7.2016,2016-08-10
42553,2016-07-02,julio,2016,7.2016,2016-08-11
42554,2016-07-03,julio,2016,7.2016,2016-08-12
42555,2016-07-04,julio,2016,7.2016,2016-08-13
42556,2016-07-05,julio,2016,7.2016,2016-08-14
42557,2016-07-06,julio,2016,7.2016,2016-08-15
42558,2016-07-07,julio,2016,7.2016,2016-08-16
42559,2016-07-08,julio,2016,7.2016,2016-08-17
42560,2016-07-09,julio,2016,7.2016,2016-08-18
42561,2016-07-10,julio,2016,7.2016,2016-08-19
42562,2016-07-11,julio,2016,7.2016,2016-08-20
42563,2016-07-12,julio,2016,7.2016,2016-08-21
42564,2016-07-13,julio,2016,7.2016,2016-08-22
42565,2016-07-14,julio,2016,7.2016,2016-08-23
42566,2016-07-15,julio,2016,7.2016,2016-08-24
42567,2016-07-16,julio,2016,7.2016,2016-08-25
42568,2016-07-17,julio,2016,7.2016,2016-08-26
42569,2016-07-18,julio,2016,7.2016,2016-08-27
42570,2016-07-19,julio,2016,7.2016,2016-08-28
42571,2016-07-20,julio,2016,7.2016,2016-08-29
42572,2016-07-21,julio,2016,7.2016,2016-08-30
42573,2016-07-22,julio,2016,7.2016,2016-08-31
42574,2016-07-23,julio,2016,7.2016,2016-09-01
42575,2016-07-24,julio,2016,7.2016,2016-09-02
42576,2016-07-25,julio,2016,7.2016,2016-09-03
42577,2016-07-26,julio,2016,7.2016,2016-09-04
42578,2016-07-27,julio,2016,7.2016,2016-09-05
42579,2016-07-28,julio,2016,7.2016,2016-09-06
42580,2016-07-29,julio,2016,7.2016,2016-09-07
42581,2016-07-30,julio,2016,7.2016,2016-09-08
42582,2016-07-31,julio,2016,7.2016,2016-09-09
42583,2016-08-01,agosto,2016,8.2016,2016-09-10
42584,2016-08-02,agosto,2016,8.2016,2016-09-11
42585,2016-08-03,agosto,2016,8.2016,2016-09-12
42586,2016-08-04,agosto,2016,8.2016,2016-09-13
42587,2016-08-05,agosto,2016,8.2016,2016-09-14
42588,2016-08-06,agosto,2016,8.2016,2016-09-15
42589,2016-08-07,agosto,2016,8.2016,2016-09-16
42590,2016-08-08,agosto,2016,8.2016,2016-09-17
42591,2016-08-09,agosto,2016,8.2016,2016-09-18
42592,2016-08-10,agosto,2016,8.2016,2016-09-19
42593,2016-08-11,agosto,2016,8.2016,2016-09-20
42594,2016-08-12,agosto,2016,8.2016,2016-09-21
42595,2016-08-13,agosto,2016,8.2016,2016-09-22
42596,2016-08-14,agosto,2016,8.2016,2016-09-23
42597,2016-08-15,agosto,2016,8.2016,2016-09-24
42598,2016-08-16,agosto,2016,8.2016,2016-09-25
42599,2016-08-17,agosto,2016,8.2016,2016-09-26
42600,2016-08-18,agosto,2016,8.2016,2016-09-27
42601,2016-08-19,agosto,2016,8.2016,2016-09-28
42602,2016-08-20,agosto,2016,8.2016,2016-09-29
42603,2016-08-21,agosto,2016,8.2016,2016-09-30
42604,2016-08-22,agosto,2016,8.2016,2016-10-01
42605,2016-08-23,agosto,2016,8.2016,2016-10-02
42606,2016-08-24,agosto,2016,8.2016,2016-10-03
42607,2016-08-25,agosto,2016,8.2016,2016-10-04
42608,2016-08-26,agosto,2016,8.2016,2016-10-05
42609,2016-08-27,agosto,2016,8.2016,2016-10-06
42610,2016-08-28,agosto,2016,8.2016,2016-10-07
42611,2016-08-29,agosto,2016,8.2016,2016-10-08
42612,2016-08-30,agosto,2016,8.2016,2016-10-09
42613,2016-08-31,agosto,2016,8.2016,2016-10-10
42614,2016-09-01,septiembre,2016,9.2016,2016-10-11
42615,2016-09-02,septiembre,2016,9.2016,2016-10-12
42616,2016-09-03,septiembre,2016,9.2016,2016-10-13
42617,2016-09-04,septiembre,2016,9.2016,2016-10-14
42618,2016-09-05,septiembre,2016,9.2016,2016-10-15
42619,2016-09-06,septiembre,2016,9.2016,2016-10-16
42620,2016-09-07,septiembre,2016,9.2016,2016-10-17
42621,2016-09-08,septiembre,2016,9.2016,2016-10-18
42622,2016-09-09,septiembre,2016,9.2016,2016-10-19
42623,2016-09-10,septiembre,2016,9.2016,2016-10-20
42624,2016-09-11,septiembre,2016,9.2016,2016-10-21
42625,2016-09-12,septiembre,2016,9.2016,2016-10-22
42626,2016-09-13,septiembre,2016,9.2016,2016-10-23
42627,2016-09-14,septiembre,2016,9.2016,2016-10-24
42628,2016-09-15,septiembre,2016,9.2016,2016-10-25
42629,2016-09-16,septiembre,2016,9.2016,2016-10-26
42630,2016-09-17,septiembre,2016,9.2016,2016-10-27
42631,2016-09-18,septiembre,2016,9.2016,2016-10-28
42632,2016-09-19,septiembre,2016,9.2016,2016-10-29
42633,2016-09-20,septiembre,2016,9.2016,2016-10-30
42634,2016-09-21,septiembre,2016,9.2016,2016-10-31
42635,2016-09-22,septiembre,2016,9.2016,2016-11-01
42636,2016-09-23,septiembre,2016,9.2016,2016-11-02
42637,2016-09-24,septiembre,2016,9.2016,2016-11-03
42638,2016-09-25,septiembre,2016,9.2016,2016-11-04
42639,2016-09-26,septiembre,2016,9.2016,2016-11-05
42640,2016-09-27,septiembre,2016,9.2016,2016-11-06
42641,2016-09-28,septiembre,2016,9.2016,2016-11-07
42642,2016-09-29,septiembre,2016,9.2016,2016-11-08
42643,2016-09-30,septiembre,2016,9.2016,2016-11-09
42644,2016-10-01,octubre,2016,10.2016,2016-11-10
42645,2016-10-02,octubre,2016,10.2016,2016-11-11
42646,2016-10-03,octubre,2016,10.2016,2016-11-12
42647,2016-10-04,octubre,2016,10.2016,2016-11-13
42648,2016-10-05,octubre,2016,10.2016,2016-11-14
42649,2016-10-06,octubre,2016,10.2016,2016-11-15
42650,2016-10-07,octubre,2016,10.2016,2016-11-16
42651,2016-10-08,octubre,2016,10.2016,2016-11-17
42652,2016-10-09,octubre,2016,10.2016,2016-11-18
42653,2016-10-10,octubre,2016,10.2016,2016-11-19
42654,2016-10-11,octubre,2016,10.2016,2016-11-20
42655,2016-10-12,octubre,2016,10.2016,2016-11-21
42656,2016-10-13,octubre,2016,10.2016,2016-11-22
42657,2016-10-14,octubre,2016,10.2016,2016-11-23
42658,2016-10-15,octubre,2016,10.2016,2016-11-24
42659,2016-10-16,octubre,2016,10.2016,2016-11-25
42660,2016-10-17,octubre,2016,10.2016,2016-11-26
42661,2016-10-18,octubre,2016,10.2016,2016-11-27
42662,2016-10-19,octubre,2016,10.2016,2016-11-28
42663,2016-10-20,octubre,2016,10.2016,2016-11-29
42664,2016-10-21,octubre,2016,10.2016,2016-11-30
42665,2016-10-22,octubre,2016,10.2016,2016-12-01
42666,2016-10-23,octubre,2016,10.2016,2016-12-02
42667,2016-10-24,octubre,2016,10.2016,2016-12-03
42668,2016-10-25,octubre,2016,10.2016,2016-12-04
42669,2016-10-26,octubre,2016,10.2016,2016-12-05
42670,2016-10-27,octubre,2016,10.2016,2016-12-06
42671,2016-10-28,octubre,2016,10.2016,2016-12-07
42672,2016-10-29,octubre,2016,10.2016,2016-12-08
42673,2016-10-30,octubre,2016,10.2016,2016-12-09
42674,2016-10-31,octubre,2016,10.2016,2016-12-10
42675,2016-11-01,noviembre,2016,11.2016,2016-12-11
42676,2016-11-02,noviembre,2016,11.2016,2016-12-12
42677,2016-11-03,noviembre,2016,11.2016,2016-12-13
42678,2016-11-04,noviembre,2016,11.2016,2016-12-14
42679,2016-11-05,noviembre,2016,11.2016,2016-12-15
42680,2016-11-06,noviembre,2016,11.2016,2016-12-16
42681,2016-11-07,noviembre,2016,11.2016,2016-12-17
42682,2016-11-08,noviembre,2016,11.2016,2016-12-18
42683,2016-11-09,noviembre,2016,11.2016,2016-12-19
42684,2016-11-10,noviembre,2016,11.2016,2016-12-20
42685,2016-11-11,noviembre,2016,11.2016,2016-12-21
42686,2016-11-12,noviembre,2016,11.2016,2016-12-22
42687,2016-11-13,noviembre,2016,11.2016,2016-12-23
42688,2016-11-14,noviembre,2016,11.2016,2016-12-24
42689,2016-11-15,noviembre,2016,11.2016,2016-12-25
42690,2016-11-16,noviembre,2016,11.2016,2016-12-26
42691,2016-11-17,noviembre,2016,11.2016,2016-12-27
42692,2016-11-18,noviembre,2016,11.2016,2016-12-28
42693,2016-11-19,noviembre,2016,11.2016,2016-12-29
42694,2016-11-20,noviembre,2016,11.2016,2016-12-30
42695,2016-11-21,noviembre,2016,11.2016,2016-12-31
42696,2016-11-22,noviembre,2016,11.2016,2017-01-01
42697,2016-11-23,noviembre,2016,11.2016,2017-01-02
42698,2016-11-24,noviembre,2016,11.2016,2017-01-03
42699,2016-11-25,noviembre,2016,11.2016,2017-01-04
42700,2016-11-26,noviembre,2016,11.2016,2017-01-05
42701,2016-11-27,noviembre,2016,11.2016,2017-01-06
42702,2016-11-28,noviembre,2016,11.2016,2017-01-07
42703,2016-11-29,noviembre,2016,11.2016,2017-01-08
42704,2016-11-30,noviembre,2016,11.2016,2017-01-09
42705,2016-12-01,diciembre,2016,12.2016,2017-01-10
42706,2016-12-02,diciembre,2016,12.2016,2017-01-11
42707,2016-12-03,diciembre,2016,12.2016,2017-01-12
42708,2016-12-04,diciembre,2016,12.2016,2017-01-13
42709,2016-12-05,diciembre,2016,12.2016,2017-01-14
42710,2016-12-06,diciembre,2016,12.2016,2017-01-15
42711,2016-12-07,diciembre,2016,12.2016,2017-01-16
42712,2016-12-08,diciembre,2016,12.2016,2017-01-17
42713,2016-12-09,diciembre,2016,12.2016,2017-01-18
42714,2016-12-10,diciembre,2016,12.2016,2017-01-19
42715,2016-12-11,diciembre,2016,12.2016,2017-01-20
42716,2016-12-12,diciembre,2016,12.2016,2017-01-21
42717,2016-12-13,diciembre,2016,12.2016,2017-01-22
42718,2016-12-14,diciembre,2016,12.2016,2017-01-23
42719,2016-12-15,diciembre,2016,12.2016,2017-01-24
42720,2016-12-16,diciembre,2016,12.2016,2017-01-25
42721,2016-12-17,diciembre,2016,12.2016,2017-01-26
42722,2016-12-18,diciembre,2016,12.2016,2017-01-27
42723,2016-12-19,diciembre,2016,12.2016,2017-01-28
42724,2016-12-20,diciembre,2016,12.2016,2017-01-29
42725,2016-12-21,diciembre,2016,12.2016,2017-01-30
42726,2016-12-22,diciembre,2016,12.2016,2017-01-31
42727,2016-12-23,diciembre,2016,12.2016,2017-02-01
42728,2016-12-24,diciembre,2016,12.2016,2017-02-02
42729,2016-12-25,diciembre,2016,12.2016,2017-02-03
42730,2016-12-26,diciembre,2016,12.2016,2017-02-04
42731,2016-12-27,diciembre,2016,12.2016,2017-02-05
42732,2016-12-28,diciembre,2016,12.2016,2017-02-06
42733,2016-12-29,diciembre,2016,12.2016,2017-02-07
42734,2016-12-30,diciembre,2016,12.2016,2017-02-08
42735,2016-12-31,diciembre,2016,12.2016,2017-02-09
42736,2017-01-01,enero,2017,1.2017,2017-02-10
