NIT_;Año_;Precio_final_Escen;Precio_index;Escenario;DIVISA;FECHA;Producto_FK
41274989;2018;4.78;6.010062874;Guatecompras;Q;14/04/2018;100
41274989;2018;4.5;5.658008982;Guatecompras;Q;26/04/2018;102
61458228;2017;10.5;13.284552233;Guatecompras;Q;16/11/2017;5
19554648;2017;9.15;11.576538375;Guatecompras;Q;16/11/2017;5
41274989;2017;5.6;7.085094524;Guatecompras;Q;16/11/2017;5
41274989;2017;4.98;6.300673345;Guatecompras;Q;16/11/2017;102
47912677;2017;10.86;13.740022595;Guatecompras;Q;17/11/2017;13
19554648;2017;9.15;11.576538375;Guatecompras;Q;17/11/2017;13
47912677;2018;6.85;8.572323624;Guatecompras;Q;5/05/2018;100
47912677;2018;10.78;13.490459659;Guatecompras;Q;5/05/2018;3
61458228;2017;9.9;12.525434963;Guatecompras;Q;22/11/2017;2
47912677;2017;11.09;14.031017549;Guatecompras;Q;22/11/2017;2
19554648;2017;9.15;11.576538375;Guatecompras;Q;22/11/2017;2
2475546K;2017;11;13.917149959;Guatecompras;Q;23/11/2017;5
61458228;2017;22;27.834299917;Guatecompras;Q;23/11/2017;9
41274989;2018;5.4;6.665873016;Guatecompras;Q;5/08/2018;102
4556984;2018;12.9;15.924029982;Guatecompras;Q;5/08/2018;2
47912677;2018;8.9;10.986346267;Guatecompras;Q;5/08/2018;5
19554648;2018;12;14.718948521;Guatecompras;Q;5/11/2018;11
19554648;2018;7;8.586053304;Guatecompras;Q;5/11/2018;100
47912677;2018;10.61;13.277715861;Guatecompras;Q;14/05/2018;8
47912677;2018;9.03;11.300449974;Guatecompras;Q;16/05/2018;7
47912677;2018;10.33;12.927314311;Guatecompras;Q;16/05/2018;13
41274989;2017;5.6;7.085094524;Guatecompras;Q;24/11/2017;7
47912677;2018;9.5;11.888624004;Guatecompras;Q;17/05/2018;5
64186059;2017;4.5;5.693379529;Guatecompras;Q;24/11/2017;7
47912677;2017;9.82;12.424219327;Guatecompras;Q;24/11/2017;7
